what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362342186045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362342198665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362342200271
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362343748964
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362343750331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362343757257
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362343771280
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362344379263
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362344385682
activated,perspective,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui.debugPerspective",1362344394590
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362344394596
opened,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1362344394699
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1362344394724
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1362344395510
closed,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1362344395538
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362344452221
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1362344452337
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1362344454082
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1362344459257
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362344463500
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362344465677
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1362344465796
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362344472712
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344478644
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344484536
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362344489358
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362344495642
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362344503403
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362344504092
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362344505114
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1362344506718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344515827
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344537564
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362344538971
activated,perspective,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui.cPerspective",1362344542066
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362344542075
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362344543259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344552403
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362344552607
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344559715
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1362344559726
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344561502
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344565819
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362344566003
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1362344570612
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362344600732
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344602165
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344608696
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1362344608710
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344612546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344622747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344629815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344637258
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344638997
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344647732
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362344649915
activated,perspective,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui.debugPerspective",1362344650765
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362344650773
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362344651649
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1362344651722
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344653167
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344657215
error,log,,,"The system console model is invalid. Cannot launch.",1362344685698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344685737
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344702372
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344704226
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344705973
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362344706808
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1362344708103
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1362344708103
stopped,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1362344708103
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1362344708103
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1362344708113
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1362344708125
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1362344708125
